CODE;NAME;WHAREHOUSE;UOM;QTY;COST
0001;MULTICRYL BIANCO;M0100;KG;3,75;29,0008
0002;MULTICRYL NERO;M0100;KG;3,75;18,0313
0004;MULTICRYL GIALLO OCRA;M0100;KG;2;25,4072
0009;MULTICRYL ROSSO OSSIDO;M0100;KG;2;23,67
0011;MULTICRYL BLU SCURO;M0100;KG;5;15,6555
0014;MULTICRYL VERDE MEDIO;M0100;KG;1;23,4771
0015;MULTICRYL VERDE SCURO;M0100;KG;1;8,47
0016;MULTICRYL VIOLETTO;M0100;KG;1;18,9015
0033;MULTICRYL NERO EXTRA;M0100;KG;2;27,4688
29602;CB LECHSYS STRONG WHITE EX DS 000;M0100;L;3,75;14,7263
29607;CB LECHSYS GOLDEN YELLOW (EX DS 0;M0100;L;3,5;12
29610;CB LECHSYS TRASPARENT JELLOW EXDS;M0100;L;6;12,08
29613;CB LECHSYS PALE OXISSIDE YELLOW E;M0100;L;2;3,86
29614;CB LECHSYS TRASP. SOLID YELLOW EX;M0100;L;3;3,53
29615;CB LECHSYS TRASPARENT GIALLO EX D;M0100;L;5;12,08
29643;CB LECHSYS RUBY RED EX DS043;M0100;L;2;31,4184
29645;CB LECHSYS VIVED RED;M0100;L;6;12,63
29654;CB LECHSYS LIGHT RED EX DS054;M0100;L;2,5;9,91
29655;CB LECHSYS MAGENTA RED (EX DS055);M0100;L;1;9,06
29658;CB LECHSYS SOLID VIOLET (EX DS058;M0100;L;2;14,39
29661;CB LECHSYS INDIGO BLUE EX DS061;M0100;L;3;20,14
29662;CB LECHSYS FROST BLUE (EX DS062);M0100;L;6;4,53
29668;CB LECHSYS LIGHT BLUE EX DS068;M0100;L;1;3,53
29669;CB LECHSYS BLU ZAFFIRO EX DS069;M0100;L;3;12,6042
29678;CB LECHSYS GREEN YELLOW EX DS078;M0100;L;1;5,03
29681;CB LECHSYS DEEP BLACK EX DS081;M0100;L;3;11,7817
29684;CB LECHSYS BLUE BACK EX DS084;M0100;L;1;13,64
29800;CB LECHSYS OPAL WHITE EX DS100;M0100;L;4;12,92
29822;CB LECHSYS MICA REFLEX GOLD EXDST;M0100;L;1;31,41
29852;CB LECHSYS MICA REFLEX VIOLET EX;M0100;L;1;12,08
29862;CB LECHSYS BLEU MICALIZZATO (EX D;M0100;L;1;10,115
29885;CB LECHSYS MICA FINE WHITE (EX DS;M0100;L;2;5,03
29887;CB LECHSYS MICA MEDIUM WHITE (EX;M0100;L;3;12,1025
29889;CB LECHSYS EXTRA FINE SILVER (EX;M0100;L;4;1,91
29892;CB LECHSYS MEDIUM LENS SILVER (EX;M0100;L;3,75;19,0707
29894;CB LECHSYS MEDIUM SILVER (EX DS09;M0100;L;5;12,4112
29895;CB LECHSYS SUPER LIGHT SILVER (EX;M0100;L;5;23,1213
29896;CB LECHSYS COARSE LENS SILVER (EX;M0100;L;3;20,3507
29898;CB LECHSYS SPARKLE SILVER (EX DS0;M0100;L;11,25;11,2987
29902;CB LECHSYS MATTING AGENT EX DSC02;M0100;L;10;1,99
29903;1K MATT BASE (EX DSC03);M0100;L;10;6,91
29908;BINDER BASE COAT PLAST EX DSC 08;M0100;L;5;7,35
29925;2K HELM BASECOAT EX DSC25;M0100;L;20;5,3464
29947;2K PLASTIC GRIP (EX DSC47);M0100;L;8;6,575
29990;SILVER FLAKE (EX DS090);M0100;L;6;9
29997;CB LECHSYS MATTING AGENT EX DS 99;M0100;L;7,5;6,559
29998;CB LECHSYS SOLID MIX AGENT (EX DS;M0100;L;4;1,99
29999;CB LECHSYS MIX AGENT (EX DS999);M0100;L;7,5;6,0549
2K07;LEGANTE D.S PER LUCIDO DIRETTO 90;M0100;KG;11;7,18
900PA0750020;DILUENTE MULTICRYL STANDARD;M0100;L;50;3,4828
900PA0750030;DILUENTE MULTICRYL SLOW;M0100;L;75;3,4777
900PA0750040;DILUENTE MULTICRYL;M0100;L;25;3,5
9011;MULTICRYL BLU INTENSO;M0100;KG;3,75;18,0313
9022;MULTICRYL NERO PER D.S;M0100;KG;3,75;8,71
9123;MULTICRYL GIALLO ORO VERDE;M0100;KG;1;8,71
9150;MULTICRYL  GIALLO CHIARO E.P.;M0100;KG;3;45,13
